epoch,train_loss,val_loss,val_accuracy,val_macro_f1
1,2.164460,2.076136,15.0538,0.0327
2,2.177010,2.062153,10.4839,0.0396
3,2.149203,2.055644,11.5591,0.0443
4,2.131844,2.040649,10.7527,0.0398
5,2.114786,2.036896,15.5914,0.0455
6,2.103430,2.036084,13.4409,0.0529
7,2.112685,2.018789,15.0538,0.0329
8,2.109181,2.009933,13.7097,0.0474
9,2.099099,2.036097,15.5914,0.0442
10,2.101673,2.014495,12.0968,0.0442
11,2.077461,2.018578,13.7097,0.0425
12,2.066521,1.990014,13.9785,0.0515
13,2.068074,1.987004,12.3656,0.0522
